Date,Value
1979-04-02,10.618681318681318
1979-04-03,10.637362637362637
1979-04-04,10.656043956043955
1979-04-05,10.674725274725274
1979-04-06,10.693406593406593
1979-04-09,10.749450549450549
1979-04-10,10.768131868131867
1979-04-11,10.786813186813186
1979-04-12,10.805494505494504
1979-04-13,10.824175824175825
1979-04-16,10.88021978021978
1979-04-17,10.8989010989011
1979-04-18,10.917582417582418
1979-04-19,10.936263736263736
1979-04-20,10.954945054945055
1979-04-23,11.010989010989011
1979-04-24,11.02967032967033
1979-04-25,11.048351648351648
1979-04-26,11.067032967032967
1979-04-27,11.085714285714285
1979-04-30,11.141758241758241
1979-05-01,11.16043956043956
1979-05-02,11.179120879120878
1979-05-03,11.197802197802197
1979-05-04,11.216483516483517
1979-05-07,11.272527472527473
1979-05-08,11.291208791208792
1979-05-09,11.30989010989011
1979-05-10,11.32857142857143
1979-05-11,11.347252747252748
1979-05-14,11.403296703296704
1979-05-15,11.421978021978022
1979-05-16,11.44065934065934
1979-05-17,11.45934065934066
1979-05-18,11.478021978021978
1979-05-21,11.534065934065934
1979-05-22,11.552747252747253
1979-05-23,11.571428571428571
1979-05-24,11.59010989010989
1979-05-25,11.608791208791208
1979-05-28,11.664835164835164
1979-05-29,11.683516483516485
1979-05-30,11.702197802197803
1979-05-31,11.720879120879122
1979-06-01,11.73956043956044
1979-06-04,11.795604395604396
1979-06-05,11.814285714285715
1979-06-06,11.832967032967034
1979-06-07,11.851648351648352
1979-06-08,11.87032967032967
1979-06-11,11.926373626373627
1979-06-12,11.945054945054945
1979-06-13,11.963736263736264
1979-06-14,11.982417582417582
1979-06-15,12.001098901098901
1979-06-18,12.057142857142857
1979-06-19,12.075824175824177
1979-06-20,12.094505494505496
1979-06-21,12.113186813186815
1979-06-22,12.131868131868133
1979-06-25,12.187912087912089
1979-06-26,12.206593406593408
1979-06-27,12.225274725274726
1979-06-28,12.243956043956045
1979-06-29,12.262637362637363
1979-07-02,12.260869565217392
1979-07-03,12.221739130434782
1979-07-04,12.182608695652174
1979-07-05,12.143478260869566
1979-07-06,12.104347826086958
1979-07-09,11.986956521739131
1979-07-10,11.947826086956523
1979-07-11,11.908695652173913
1979-07-12,11.869565217391305
1979-07-13,11.830434782608696
1979-07-16,11.71304347826087
1979-07-17,11.673913043478262
1979-07-18,11.634782608695653
1979-07-19,11.595652173913043
1979-07-20,11.556521739130435
1979-07-23,11.439130434782609
1979-07-24,11.4
1979-07-25,11.360869565217392
1979-07-26,11.321739130434782
1979-07-27,11.282608695652174
1979-07-30,11.165217391304347
1979-07-31,11.126086956521739
1979-08-01,11.08695652173913
1979-08-02,11.047826086956523
1979-08-03,11.008695652173913
1979-08-06,10.891304347826088
1979-08-07,10.852173913043478
1979-08-08,10.81304347826087
1979-08-09,10.773913043478261
1979-08-10,10.734782608695653
1979-08-13,10.617391304347827
1979-08-14,10.578260869565216
1979-08-15,10.539130434782608
1979-08-16,10.5
1979-08-17,10.460869565217392
1979-08-20,10.343478260869565
1979-08-21,10.304347826086957
1979-08-22,10.265217391304347
1979-08-23,10.226086956521739
1979-08-24,10.18695652173913
1979-08-27,10.069565217391304
1979-08-28,10.030434782608696
1979-08-29,9.991304347826087
1979-08-30,9.952173913043477
1979-08-31,9.91304347826087
1979-09-03,9.795652173913043
1979-09-04,9.756521739130434
1979-09-05,9.717391304347826
1979-09-06,9.678260869565218
1979-09-07,9.639130434782608
1979-09-10,9.521739130434781
1979-09-11,9.482608695652173
1979-09-12,9.443478260869565
1979-09-13,9.404347826086957
1979-09-14,9.365217391304347
1979-09-17,9.247826086956522
1979-09-18,9.208695652173912
1979-09-19,9.169565217391304
1979-09-20,9.130434782608695
1979-09-21,9.091304347826085
1979-09-24,8.97391304347826
1979-09-25,8.934782608695652
1979-09-26,8.895652173913042
1979-09-27,8.856521739130434
1979-09-28,8.817391304347826
1979-10-01,8.7
1979-10-02,8.714130434782607
1979-10-03,8.728260869565217
1979-10-04,8.742391304347825
1979-10-05,8.756521739130434
1979-10-08,8.79891304347826
1979-10-09,8.81304347826087
1979-10-10,8.827173913043477
1979-10-11,8.841304347826087
1979-10-12,8.855434782608695
1979-10-15,8.89782608695652
1979-10-16,8.91195652173913
1979-10-17,8.926086956521738
1979-10-18,8.940217391304348
1979-10-19,8.954347826086956
1979-10-22,8.996739130434783
1979-10-23,9.01086956521739
1979-10-24,9.024999999999999
1979-10-25,9.039130434782608
1979-10-26,9.053260869565216
1979-10-29,9.095652173913043
1979-10-30,9.109782608695651
1979-10-31,9.123913043478261
1979-11-01,9.138043478260869
1979-11-02,9.152173913043478
1979-11-05,9.194565217391304
1979-11-06,9.208695652173912
1979-11-07,9.222826086956522
1979-11-08,9.23695652173913
1979-11-09,9.251086956521739
1979-11-12,9.293478260869565
1979-11-13,9.307608695652174
1979-11-14,9.321739130434782
1979-11-15,9.33586956521739
1979-11-16,9.35
1979-11-19,9.392391304347825
1979-11-20,9.406521739130435
1979-11-21,9.420652173913043
1979-11-22,9.434782608695652
1979-11-23,9.44891304347826
1979-11-26,9.491304347826087
1979-11-27,9.505434782608695
1979-11-28,9.519565217391303
1979-11-29,9.533695652173913
1979-11-30,9.54782608695652
1979-12-03,9.590217391304348
1979-12-04,9.604347826086956
1979-12-05,9.618478260869566
1979-12-06,9.632608695652173
1979-12-07,9.646739130434783
1979-12-10,9.689130434782609
1979-12-11,9.703260869565216
1979-12-12,9.717391304347826
1979-12-13,9.731521739130434
1979-12-14,9.745652173913044
1979-12-17,9.78804347826087
1979-12-18,9.802173913043479
