Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-02-26,0.0234301780693391,8.04,6.975,0.5276116778051287,0.0255945984821037,1.36,94.07317073170732,7.241463414634146,286.06,164.080002
1985-02-27,0.023424689622864,8.06,6.946875,1.7494751574527625,0.0255880493235993,1.33,94.09512195121953,7.2439024390243905,194.02,159.889999
1985-02-28,0.0234192037470659,8.74,6.918749999999999,-1.031636863823937,0.0255815035158812,1.25,94.1170731707317,7.246341463414634,180.07,160.410004
1985-03-01,0.0234137204401907,8.74,6.890625,-0.1737317581653963,0.0255749610563071,1.13,94.1390243902439,7.248780487804878,46.53,161.039993
1985-03-04,0.0089174246477696,8.73,6.8625,0.4872955099199272,0.0185147171877009,1.15,94.1609756097561,7.251219512195122,67.22,161.770004
1985-03-05,0.0089166295140552,8.53,6.834375,-0.2771042604780116,0.0185112898747341,1.15,94.1829268292683,7.253658536585366,110.6,163.830002
1985-03-06,0.0089158345220941,8.21,6.80625,-0.1736714136853057,0.018507863830397,1.17,94.20487804878049,7.2560975609756095,46.38,162.080002
1985-03-07,0.0089150396719306,8.47,6.778124999999999,0.7654836464857429,0.0185044390540234,1.11,94.22682926829268,7.258536585365854,40.62,162.639999
1985-03-08,0.0089142449634538,8.42,6.75,0.4834254143646355,0.0185010155448805,1.15,94.24878048780488,7.260975609756097,142.42,163.179993
1985-03-11,0.0089134503966414,8.26,6.721875,0.0,0.0184975933022579,1.16,94.27073170731708,7.263414634146342,315.81,160.199997
1985-03-12,0.0089126559714713,8.53,6.69375,-0.8591065292096189,0.0184941723254894,1.16,94.29268292682929,7.265853658536585,109.71,160.550003
1985-03-13,0.0089118616878991,9.12,6.665625,0.6239168110918625,0.01849075261382,1.11,94.31463414634146,7.268292682926829,184.43,160.860001
1985-03-14,0.0089110675459025,9.12,6.637499999999999,0.1722356183258666,0.0184873341666058,1.06,94.33658536585364,7.270731707317073,83.11,161.940002
1985-03-15,0.0089102735453927,8.81,6.609375,0.6533700137551612,0.0184839169830919,1.11,94.35853658536584,7.273170731707317,92.47,161.690002
1985-03-18,0.0089094796863697,8.62,6.58125,2.1182097710966907,0.0184805010626565,1.13,94.38048780487804,7.275609756097561,186.39,160.080002
1985-03-19,0.0089086859688336,8.62,6.553125,5.98862495818,0.018477086404478,1.14,94.40243902439023,7.278048780487805,55.03,157.220001
1985-03-20,0.0089078923926733,8.49,6.525,2.2727272727272707,0.0184736730079571,1.06,94.42439024390244,7.280487804878049,91.76,156.550003
1985-03-21,0.0089070989578665,8.6,6.496874999999999,-1.6975308641975273,0.0184702608723608,1.13,94.44634146341464,7.282926829268293,41.24,154.229996
1985-03-22,0.0089063056643912,8.61,6.46875,-0.9419152276295084,0.0184668499969786,1.13,94.46829268292684,7.285365853658536,138.33,155.119995
1985-03-25,0.0089055125122472,8.45,6.440625,-0.2852614896988847,0.0184634403811445,1.15,94.49024390243902,7.287804878048781,264.36,155.610001
1985-03-26,0.0089047195013458,7.99,6.4125,2.9243483788938374,0.0184600320241479,1.14,94.5121951219512,7.290243902439024,269.11,154.419998
1985-03-27,0.0089039266316426,7.79,6.384375,2.0382952439777613,0.0184566249252782,1.21,94.5341463414634,7.292682926829267,90.63,150.610001
1985-03-28,0.0089031339031153,8.89,6.356249999999999,-1.2409200968522938,0.0184532190838471,1.22,94.5560975609756,7.295121951219512,42.82,150.990005
1985-03-29,0.008902341315764,8.58,6.328125,0.9193993257738288,0.018449814499144,1.22,94.5780487804878,7.297560975609756,183.61,149.179993
1985-04-01,0.0089015488694998,8.83,6.3,-2.4901305800182127,0.0184464111705029,1.21,94.6,7.3,54.95,150.649994
1985-04-02,0.0084961767204738,8.79,6.338461538461538,-0.7162877608221763,0.0269811017474586,1.22,94.47272727272728,7.295454545454545,180.7,152.089996
1985-04-03,0.0084954549316007,8.49,6.3769230769230765,0.7841907151819427,0.0269738239125905,1.24,94.34545454545454,7.290909090909091,269.69,150.940002
1985-04-04,0.008494733265385,8.56,6.415384615384616,-1.4005602240896309,0.0269665500028493,1.22,94.21818181818182,7.286363636363636,179.75,153.160004
1985-04-05,0.008494011721738,8.14,6.453846153846154,0.0,0.0269592800151485,1.22,94.09090909090908,7.281818181818181,41.44,152.970001
1985-04-08,0.0084932903006595,8.58,6.492307692307692,0.0,0.0269520139462464,1.28,93.96363636363635,7.277272727272727,175.05,152.600006
1985-04-09,0.0084925690021275,8.68,6.530769230769231,1.988636363636376,0.0269447517929677,1.28,93.83636363636364,7.272727272727272,94.25,151.800003
